Day | Fishes
----+---------------------
 0  | 3
 1  | 2
 2  | 1
 3  | 0 
 4  | 6 8
 5  | 5 7
 7  | 4 6
 8  | 3 5
 9  | 2 4
10  | 1 3
11  | 0 2
12  | 6 1 8
13  | 5 0 7
14  | 4 6 6 8
15  | 3 5 5 7
16  | 2 4 4 6
17  | 1 3 3 5
18  | 0 2 2 4
19  | 6 1 1 3 8
20  | 5 0 0 2 7
21  | 4 6 6 1 6 8 8
22  | 3 5 5 0 5 7 7
23  | 2 4 4 6 4 6 6 8
24  | 1 3 3 5 3 5 5 7
25  | 0 2 2 4 2 4 4 6
26  | 6 1 1 3 1 3 3 5 8
27  | 5 0 0 2 0 2 2 4 7
28  | 4 6 6 1 6 1 1 3 5 8 8 8
29  | 3 5 5 0 5 0 0 2 4 7 7 7
30  | 2 4 4 6 4 6 6 1 3 6 6 6 8 8 8
